VerExpanded;All Expaned;Correct;Triple
1;1;1;influenza caused virus
1;1;1;effect achieved way
1;1;1;viruses caused infections
1;1;0;blisters appear herpes simplex virus
1;1;0;blisters caused herpes simplex virus
1;1;0;circuit comprises converter
1;1;0;Roundworms caused parasite
1;1;0;subject imply implication
1;1;0;talent emanated village
1;1;0;narrative comprises interplay
1;1;0;murders result conviction
1;1;1;vibrations caused movement
1;1;0;regulations entered force
1;1;0;clubs falling ownership
1;1;0;station receives device
1;1;1;spills caused hurricane
1;1;1;diseases caused gene mutations
1;1;1;response caused ripple
1;1;0;air filled smell
1;1;1;receiver outputting tone
1;1;0;speech criticised idea
1;1;0;Asteroid threatened disaster
1;1;0;tales concerning concerns
1;1;0;documents troubling strategies
1;1;0;implications indicated publication
1;1;0;model derived example
1;1;0;analyzer identifies method
1;1;0;analyzer using method
1;1;1;Rain caused cancellation
1;1;0;containers fell dam
1;1;1;crash caused attack
1;1;0;Conditions criticised report
1;1;0;sound captures combination
1;1;0;drilling threatens chemicals
1;1;0;information came press release
1;1;1;damage caused misuse
1;1;1;airstrike resulted explosions
1;1;0;Barrages make energy
1;1;1;conflict caused wastewater
1;1;0;car using engine
1;1;1;damage caused tornado
1;1;0;downturn made people
1;1;0;activation done source
1;1;0;article explains difficulties
1;1;1;colors caused dispersion
1;1;0;articles identified promotion
1;1;0;question raised announcement
1;1;1;pain caused strains
1;1;0;storm moving town
1;1;1;damage caused earthquake
1;1;0;Air blown mouthpiece
1;1;1;misinterpretation caused word
1;1;1;damage caused bombing
1;1;1;death caused tsunami
1;1;1;leakage caused person
1;1;1;fear suffered stab
1;1;0;fear caused stab
1;1;0;topic came discussion
1;1;1;suffering caused embargo
1;1;0;attacker killed instrument
1;1;0;company mocked version
1;1;1;anger caused abuse
1;1;0;advertising inform selections
1;1;0;leaflet informing qualities
1;1;1;strike resulted death
1;1;0;album completed singer
1;1;1;fear caused power
1;1;1;Tides caused gravitational pull
1;1;0;Stroke leading death
1;1;1;pain caused torment
1;1;0;community eluded positions
1;1;1;distraction caused incident
1;1;0;distraction coupled incident
1;1;1;light radiating friend
1;1;1;entrapments resulted suffocation
1;1;1;Storms lead losses
1;1;0;laws applying war
1;1;0;cross removed site
1;1;0;lighting rendering works
1;1;0;Discussion took function
1;1;0;document sets facts
1;1;0;document established levels
1;1;0;answer grows trend
1;1;0;programme consider happiness
1;1;1;devastation caused waves
1;1;0;Noise regulations come force
1;1;1;Cancer causes illness
1;1;0;Inhalation fumes irritation
1;1;0;Inhalation produces irritation
1;1;0;seminar gave system
1;1;1;noise caused powertrain
1;1;1;pandemic caused infection
1;1;0;evidence arose results
1;1;0;law covering registration
1;1;1;tsunami triggered earthquake
1;1;1;ulcer caused stress
1;1;1;Recessions caused excess demand
1;1;0;boom hinged fitting
1;1;1;recession triggered collapse
1;1;1;Lesions caused leg weakness
1;1;1;suffering caused bomb
1;1;1;death caused cancellation
1;1;1;problems ensued policy
1;1;1;incoming water caused stain
1;1;1;bleeding caused injury
1;1;1;effect lighting light
1;1;1;crisis caused jobless rate
1;1;1;corruption triggered utilities
1;1;1;creatures caused scare
1;1;1;ban caused debate
1;1;0;report giving activities
1;1;1;experience ensued blend
1;1;1;spill caused tanker
1;1;1;damage caused collision
1;1;0;dopamine causes depression
1;1;0;turbines generate electricity
1;1;1;suffering caused exploitation
1;1;0;mechanism composed magnet
1;1;0;riots bashing verdict
1;1;0;problems pointed study
1;1;0;weather report informed storm conditions
1;1;1;election caused appointment
1;1;1;wind swirling draft
1;1;0;wind caused draft
1;1;1;expansion resulted movements
1;1;0;Highways falling disrepair
1;1;0;exploration moving waters
1;1;1;Infectious diseases caused parasites
1;1;1;interaction arose layers
1;1;0;chemical produced gland
1;1;1;crisis caused cost
1;1;0;crisis escalating cost
1;1;1;injuries caused fireworks
1;1;0;injuries obtained fireworks
1;1;0;relationship thrown chaos
1;1;1;Alcohol cause suicide
1;1;1;disturbances required erosion
1;1;0;disturbances build erosion
1;1;0;disturbances lead erosion
1;1;0;Considerations concerned cases
